,0
0,09005700011601121421504302O
1,09005700121709171353456792N
2,09005700121709201339174628V
3,09005700121709191015212118V
4,09005700121709181341468288V
5,09005700121709181517328802N
6,09005700121709191548500362N
7,09005700121709181706073428V
8,09005700121709211629260062N
9,09005700122003201336474033O
10,09005700121709180940515612N
11,09005700121709181322343028V
12,09005700121709181303071142N
13,09005700121709181302564862N
14,09005700011601130923318742C
15,09005700011602161427491812O
16,09005700121709171224221302N
17,09005700121709191114511118V
18,09005700011601111530436892O
19,09005700121709181309241282N
20,09005700121709171238374192N
21,09005700121709211642190412N
22,09005700121709191550107422N
23,09005700121709201222543588V
24,09005700121709191552296022N
25,09005700121709171216576302N
26,09005700121709181336319288V
27,09005700121709161705290542N
28,09005700121709161544111912N
29,09005700121709181253409462N
30,09005700121709191550470822N
31,09005700121709211641158932N
32,09005700121709201036281528V
33,09005700121709171224594362N
34,09005700121709201333025588V
35,09005700121709181344228448V
36,09005700121709191028162078V
37,09005700121709161744067312N
38,09005700121709201028505878V
39,09005700121709191553114702N
40,09005700121709181505236132N
41,09005700121709161503563642N
42,09005700011601121052556272O
43,09005700011601131028035472C
44,09005700121709191544191622N
45,09005700121709181531279882N
46,09005700121709191548046112N
47,09005700121709181322066448V
48,09005700121709191015541358V
49,09005700121709181318133198V
50,09005700121709181253496842N
51,09005700121709171353523442N
52,09005700121709211543251762N
53,09005700121709191549030112N
54,09005700121709201035413888V
55,09005700121709191325074778V
56,09005700121709171328059402N
57,09005700121709191001463388V
58,09005700121709201704529018V
59,09005700121709171233384512N
60,09005700121709171216322122N
61,09005700121709171315483832N
62,09005700121709171335228632N
63,09005700121709181529277372N
64,09005700121709191543182072N
65,09005700121709191110116538V
66,09005700121709171212093642N
67,09005700011602161501226282O
68,09005700121709201231445208V
69,09005700121709191155223808V
70,09005700121709191129113888V
71,09005700121709190941320712N
72,09005700011601121100191339I
73,09005700011601121113528222O
74,09005700121709201054547528V
75,09005700121709191553500712N
76,09005700121709171225053152N
77,09005700121709180938568302N
78,09005700121709191002429208V
79,09005700121709171406132822N
80,09005700011601181614343819I
81,09005700011601131032406592C
82,09005700121709171346278692N
83,09005700121709181307464682N
84,09005700121709171324125192N
85,09005700121709171328080232N
86,09005700121709201225596428V
87,09005700121709181337033838V
88,01005700001311291552293125N
89,09005700121709191017398268V
90,09005700121709171320064102N
91,09005700121709161702542622N
92,09005700121709171346266182N
93,09005700121709181529174412N
94,09005700121709201040286928V
95,09005700121709171332497462N
96,09005700121709181525464562N
97,09005700121709171313375132N
98,09005700121709191128360798V
99,09005700121709181302490962N
100,09005700121709181508052452N
101,09005700121709190941171262N
102,09005700121709191117345938V
103,09005700121709201705002038V
104,09005700011601121418136332O
105,09005700121709201407094018V
106,09005700121709181242086752N
107,09005700121709201028089628V
108,09005700121709171208477092N
109,09005700121709191546238632N
110,09005700011601131024214772C
111,09005700121709181309069732N
112,09005700121709191626051322N
113,09005700121709201033106268V
114,09005700011601131627182732O
115,09005700121709191008348338V
116,09005700121709191544386262N
117,09005700121709181340327588V
118,09005700121709191105383998V
119,09005700121709181245124152N
120,09005700121709201030247528V
121,09005700121709201042201698V
122,09005700121709161706471962N
123,09005700121709201402031558V
124,09005700122003201337196123O
125,09005700011601131026143482C
126,09005700011601131328283842C
127,09005700121709171406195152N
128,09005700121709171412375962N
129,09005700121709181247421292N
130,09005700121709171319199522N
131,09005700121709211610511002N
132,09005700121709201226192228V
133,09005700121709191119364578V
134,09005700121709201232454608V
135,09005700121709171353443712N
136,09005700121709201208219618V
137,09005700011602161500177082O
138,09005700121709171346552692N
139,09005700121709201029314848V
140,09005700121709181243377302N
141,09005700011601111530580072O
142,09005700011601121253592722O
143,09005700011601131617517472O
144,09005700011601121254032692O
145,09005700121709181322134528V
146,09005700121709181211120538V
147,09005700121709181341443838V
148,09005700121709171313362342N
149,09005700011601131535174152O
150,09005700121709181242502702N
151,09005700121709181535229682N
152,09005700121709171238145982N
153,09005700121709171313486392N
154,09005700121709201336574848V
155,09005700121709191552407182N
156,09005700121709201333193548V
157,09005700121709181450008182N
158,09005700121709191155496438V
159,09005700121709201705444868V
160,09005700011601121418563322O
161,09005700121709191118565118V
162,09005700121709180940232782N
163,09005700121709181322201788V
164,09005700121709171230222602N
165,09005700011601131019206322C
166,09005700121709181303008982N
167,09005700121709211548363652N
168,09005700121709181247447742N
169,09005700121709201215411238V
170,09005700011601091314163849I
171,09005700121709181339589318V
172,09005700121709181242064432N
173,09005700121709191015375138V
174,09005700121709181342149368V
175,09005700121709211609006332N
176,09005700121709181243099832N
177,09005700121709201038198038V
178,09005700121709181245192472N
179,09005700121709181526430642N
180,09005700011601121357398472O
181,09005700121709171324000562N
182,09005700121709201337353328V
183,09005700011601091119031699I
184,09005700121709211628227212N
185,09005700121709181321197538V
186,09005700121709181259546682N
187,09005700121709191118495398V
188,09005700121709211641457642N
189,09005700121709181535242002N
190,09005700121709161503575612N
191,09005700121709171406121452N
192,09005700121709201224006258V
193,09005700121709171346183322N
194,09005700011601131230479692O
195,09005700121709191614349152N
196,09005700121709181340569538V
197,09005700121709211605365852N
198,09005700121709171224111552N
199,09005700011601121100416469I
200,09005700121709180940501452N
201,09005700121709181337389328V
202,09005700121709181508129502N
203,09005700121709171332165582N
204,09005700011601091056338979I
205,09005700121709201647520272N
206,09005700121709181343139338V
207,09005700121709180936334162N
208,09005700121709201343006498V
209,09005700121709161544042742N
210,09005700121709211609069442N
211,09005700121709211603121392N
212,09005700121709201706297728V
213,01005700001311301512015905N
214,09005700121709181532235362N
215,09005700121709161710241602N
216,09005700121709191545167202N
217,09005700121709171226101072N
218,09005700121709181216286408V
219,09005700121709191015239218V
220,09005700121709201042087198V
221,09005700121709161729589962N
222,09005700121709171323308872N
223,09005700121709171326556532N
224,09005700121709201355537578V
225,09005700121709211537172512N
226,09005700122003201330069953O
227,09005700121709161726206452N
228,09005700011601091001194479I
229,09005700121709171324207602N
230,01005700001311301558070525N
231,09005700121709201239355998V
232,09005700121709181241421232N
233,09005700011602161428181062O
234,09005700121709171322217832N
235,09005700011601131032368552C
236,09005700121709211312536438V
237,09005700121709181337159608V
238,09005700121709201239211618V
239,09005700121709201050427958V
240,09005700121709201215095898V
241,09005700121709190946479048V
242,09005700121709181337438518V
243,09005700121709181310485062N
244,09005700011601121553230122O
245,09005700011601131624528342O
246,09005700121709181322026058V
247,09005700011601131230194762O
248,09005700121709191544116372N
249,09005700121709191549389542N
250,09005700011601121421484272O
251,09005700121709201705077508V
252,09005700121709201047316718V
253,09005700121709201031586918V
254,09005700011601111538571292O
255,09005700121709201030363638V
256,09005700121709181706101288V
257,09005700011601181609254359I
258,09005700121709181259570182N
259,09005700121709191152201748V
260,09005700121709161706459992N
261,09005700121709211633352692N
262,09005700011601131112136202P
263,09005700121709181307246542N
264,09005700121709181507269402N
265,09005700121709191019104398V
266,09005700121709201221207218V
267,09005700121709171351487332N
268,09005700121709191002270268V
269,09005700011601131625278062O
270,09005700011601131113051962P
271,09005700011601111531023772O
272,09005700121709201037596798V
273,09005700121709161501512042N
274,09005700011601131326535912C
275,09005700121709201349338648V
276,09005700121709201055456688V
277,09005700121709191557465712N
278,09005700121709171209099042N
279,09005700121709181301476542N
280,09005700121709161703027022N
281,09005700121709181303365882N
282,09005700121709171315289632N
283,09005700121709191113191938V
284,09005700121709181323323428V
285,09005700121709201339474458V
286,09005700011601111515444752O
287,09005700121709171224011372N
288,09005700121709161722442862N
289,09005700121709171228143062N
290,09005700121709171310305602N
291,09005700121709201231513068V
292,09005700011601111530109222O
293,09005700121709161702444162N
294,09005700121709181337201048V
295,09005700121709211601170672N
296,09005700121709180936318982N
297,09005700121709191319177178V
298,09005700121709201349265998V
299,09005700121709200937157718V
300,09005700121709181530026572N
301,09005700121709201232019648V
302,09005700121709201028148028V
303,09005700011601121421524922O
304,09005700121709191152598738V
305,09005700121709201052091758V
306,09005700121709181238192382N
307,09005700121709171319257052N
308,09005700011601071229288439I
309,09005700121709191613474592N
310,09005700121709211631156032N
311,09005700011601121048390339I
312,09005700121709191018225228V
313,09005700121709191115272968V
314,09005700121709201229189818V
315,09005700121709171328007122N
316,09005700121709171225263682N
317,09005700011511201305479396I
318,09005700121709211534392542N
319,09005700121709161723225502N
320,09005700121709181340597288V
321,09005700011601131528361742O
322,09005700121709210914557942N
323,09005700121709181459030852N
324,09005700121709191016491188V
325,09005700121709201029255748V
326,09005700121709191016520808V
327,09005700121709181323158518V
328,09005700121709201242553878V
329,09005700121709181243393402N
330,09005700121709191319078458V
331,09005700121709201103230638V
332,09005700121709171225040012N
333,09005700121709181323031148V
334,09005700121709201016372098V
335,09005700121709201050355508V
336,09005700121709180938345262N
337,09005700011601131608187422O
338,09005700121709181341456208V
339,09005700011601091113559059I
340,09005700121709171210238192N
341,09005700011601131612049772O
342,09005700011601121552244992O
343,09005700121709181504383292N
344,09005700121709201026016058V
345,09005700122003201330309893O
346,09005700121709181458090702N
347,09005700121709191109246858V
348,09005700121709171314032622N
349,09005700121709171238171632N
350,09005700121709171313599292N
351,09005700121709171216066062N
352,09005700011510240847094946I
353,09005700121709181704210848V
354,09005700121709201400560958V
355,09005700121709181303408162N
356,09005700121709181323362028V
357,09005700121709181324191988V
358,09005700121709181337213528V
359,09005700121709181238507252N
360,09005700121709161544175182N
361,09005700121709171334372452N
362,09005700121709181337548458V
363,09005700121709181246553172N
364,09005700011601091110209339I
365,09005700121709161501030212N
366,09005700121709191313355368V
367,09005700011601121422194222O
368,09005700121709181516265682N
369,09005700121709211603232052N
370,09005700011601091109514919I
371,09005700121709201237291628V
372,09005700121709201232399718V
373,09005700121709201056032148V
374,09005700121709191546062982N
375,09005700011601131109020952P
376,09005700121709171318430342N
377,09005700121709201214334818V
378,09005700121709171224248672N
379,09005700121709171218494092N
380,09005700121709161706423732N
381,09005700121709161734263412N
382,09005700121709171229225152N
383,09005700011601121254136692O
384,09005700011601121421594282O
385,09005700121709181531186372N
386,09005700121709181344257348V
387,09005700011601091316505399I
388,09005700121709181217020228V
389,09005700121709171410026812N
390,09005700121709161706436672N
391,09005700121709171239072292N
392,09005700121709181252106162N
393,09005700121709191121372868V
394,09005700121709161730082702N
395,09005700121709171229414252N
396,09005700121709190941155552N
397,09005700121709211629418602N
398,09005700121709171230502302N
399,09005700121709181509592982N
400,09005700121709181243566532N
401,09005700121709181704329918V
402,09005700011601121048311459I
403,09005700011601131608006972O
404,09005700121709181516012512N
405,09005700121709191129551118V
406,09005700121709171332471402N
407,09005700011601121418088092O
408,09005700121709181322007808V
409,09005700121709201102405228V
410,09005700121709201155415628V
411,09005700121709161719125772N
412,09005700121709181323443238V
413,09005700121709201038228918V
414,09005700121709211607558582N
415,09005700121709191114464638V
416,09005700121709190943135512N
417,09005700121709201708534362N
418,09005700121709171305482362N
419,09005700121709201200551078V
420,09005700121709161712069062N
421,09005700121709181505250502N
422,09005700121709161503526732N
423,09005700121709181244159042N
424,09005700121709191019205628V
425,09005700121709181340547738V
426,09005700121709181532273512N
427,09005700011510240847006136I
428,09005700121709201041371908V
429,09005700121709191546042502N
430,09005700011601091118190319I
431,09005700121709211544364312N
432,09005700121709181238363282N
433,09005700011602161501377102O
434,09005700011601121418264082O
435,09005700121709191555533162N
436,09005700121709181324244378V
437,09005700121709171209074552N
438,09005700121709191554084242N
439,09005700121709191544226702N
440,09005700121709191548268862N
441,09005700121709181506513652N
442,09005700121709171352008282N
443,09005700121709161744036572N
444,09005700121709161727018202N
445,09005700121709181452014852N
446,09005700121709181456574302N
447,09005700121709171329205252N
448,09005700011601131112310912P
449,09005700121709181344431578V
450,09005700121709211608404512N
451,09005700121709201053264238V
452,09005700121709201104280108V
453,09005700121709201024507648V
454,09005700121709201348440908V
455,09005700121709181518451222N
456,09005700121709181302201792N
457,09005700121709161712044102N
